                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1742,                 77.833,                 4.7157,                      0,                      0,                      0,                      0,                0.39675,                 189.16,                0.22438,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 6.1586,                 119.31,                 3.8109,                      0,                      0,                      0,                      0,                0.39489,                 189.13,                0.22339,             2.4743e-05,             2.4743e-05,             2.4743e-05
                      3,                 7.1492,                 54.891,                 4.6706,                      0,                      0,                      0,                      0,                0.39311,                 189.14,                0.22244,             4.0825e-05,             4.0825e-05,             4.0825e-05
                      4,                 7.1775,                  104.4,                 4.5009,                      0,                      0,                      0,                      0,                0.39135,                 189.18,                0.22152,             5.6578e-05,             5.6578e-05,             5.6578e-05
                      5,                 5.4485,                 76.943,                 3.4644,                      0,                      0,                      0,                      0,                0.38947,                 189.29,                0.22055,             7.2001e-05,             7.2001e-05,             7.2001e-05
                      6,                 7.1328,                 67.179,                 4.3263,                      0,                      0,                      0,                      0,                0.38744,                 189.43,                0.21953,             8.7094e-05,             8.7094e-05,             8.7094e-05
                      7,                 7.0726,                  44.41,                 4.2309,                      0,                      0,                      0,                      0,                0.38493,                 189.59,                0.21826,             0.00010186,             0.00010186,             0.00010186
                      8,                 7.0824,                  28.86,                  4.056,                      0,                      0,                      0,                      0,                0.38191,                 189.72,                0.21674,             0.00011629,             0.00011629,             0.00011629
                      9,                 6.7286,                 16.641,                 3.8229,                      0,                      0,                      0,                      0,                0.38004,                  189.8,                 0.2158,             0.00013039,             0.00013039,             0.00013039
                     10,                 6.8396,                 16.932,                 3.7693,                      0,                      0,                      0,                      0,                0.37636,                 189.96,                0.21394,             0.00014417,             0.00014417,             0.00014417
                     11,                 6.9241,                 16.686,                  3.549,                      0,                      0,                      0,                      0,                0.37196,                 190.11,                 0.2117,             0.00015761,             0.00015761,             0.00015761
                     12,                 6.6495,                 14.111,                 3.3462,                      0,                      0,                      0,                      0,                0.36692,                 190.25,                0.20914,             0.00017073,             0.00017073,             0.00017073
                     13,                 6.8408,                 14.222,                 3.4428,                      0,                      0,                      0,                      0,                0.36124,                 190.31,                0.20623,             0.00018351,             0.00018351,             0.00018351
                     14,                 6.6147,                 9.2108,                 3.1609,                      0,                      0,                      0,                      0,                0.35509,                 190.33,                0.20308,             0.00019596,             0.00019596,             0.00019596
                     15,                 6.4067,                 7.3492,                  3.064,                      0,                      0,                      0,                      0,                0.34825,                 190.26,                0.19957,             0.00020809,             0.00020809,             0.00020809
                     16,                 6.5032,                 7.4415,                  3.096,                      0,                      0,                      0,                      0,                0.34104,                 190.14,                0.19587,             0.00021988,             0.00021988,             0.00021988
                     17,                  6.228,                  5.741,                 2.7806,                      0,                      0,                      0,                      0,                0.33351,                 189.93,                0.19201,             0.00023135,             0.00023135,             0.00023135
                     18,                 5.6311,                 4.4393,                 2.6826,                      0,                      0,                      0,                      0,                0.32567,                 189.62,                  0.188,             0.00024248,             0.00024248,             0.00024248
                     19,                 5.0757,                  3.856,                 2.8361,                      0,                      0,                      0,                      0,                0.31751,                 189.14,                0.18382,             0.00025329,             0.00025329,             0.00025329
                     20,                 4.7999,                 3.3773,                 2.6653,                      0,                      0,                      0,                      0,                0.31028,                 188.68,                0.18011,             0.00026376,             0.00026376,             0.00026376
                     21,                 4.5382,                   3.41,                 2.7072,                      0,                      0,                      0,                      0,                0.30327,                 188.05,                0.17652,             0.00027391,             0.00027391,             0.00027391
                     22,                 4.3528,                 3.1841,                 2.5647,                      0,                      0,                      0,                      0,                0.29651,                 187.33,                0.17303,             0.00028372,             0.00028372,             0.00028372
                     23,                 4.3791,                 3.1079,                 2.5802,                      0,                      0,                      0,                      0,                  0.289,                 186.48,                0.16915,             0.00029321,             0.00029321,             0.00029321
                     24,                 4.3687,                 2.8468,                 2.4427,                      0,                      0,                      0,                      0,                0.28208,                 185.48,                0.16554,             0.00030236,             0.00030236,             0.00030236
                     25,                 3.8592,                 2.4134,                 2.2336,                      0,                      0,                      0,                      0,                0.27479,                 184.19,                0.16171,             0.00031119,             0.00031119,             0.00031119
                     26,                   4.33,                 2.3453,                  2.232,                      0,                      0,                      0,                      0,                0.26809,                 182.88,                0.15818,             0.00031968,             0.00031968,             0.00031968
                     27,                 4.0885,                  2.785,                 2.3589,                      0,                      0,                      0,                      0,                0.26006,                 181.39,                0.15396,             0.00032785,             0.00032785,             0.00032785
                     28,                 3.8318,                 2.6132,                 2.3164,                      0,                      0,                      0,                      0,                0.26006,                 181.39,                0.15396,             0.00033569,             0.00033569,             0.00033569
                     29,                 3.8789,                 2.4369,                  2.212,                      0,                      0,                      0,                      0,                0.25185,                 179.88,                0.14963,             0.00034319,             0.00034319,             0.00034319
                     30,                 3.5032,                 2.1635,                 2.1231,                      0,                      0,                      0,                      0,                0.24327,                 177.89,                0.14507,             0.00035037,             0.00035037,             0.00035037
                     31,                 3.7469,                 2.2524,                 2.1432,                      0,                      0,                      0,                      0,                0.24327,                 177.89,                0.14507,             0.00035722,             0.00035722,             0.00035722
                     32,                 3.6049,                 2.1235,                 2.1049,                      0,                      0,                      0,                      0,                0.23512,                 175.91,                0.14069,             0.00036373,             0.00036373,             0.00036373
                     33,                 3.6505,                 2.0258,                 2.0454,                      0,                      0,                      0,                      0,                0.22838,                 174.41,                0.13704,             0.00036992,             0.00036992,             0.00036992
                     34,                  3.263,                 1.9255,                 1.9862,                      0,                      0,                      0,                      0,                0.22838,                 174.41,                0.13704,             0.00037578,             0.00037578,             0.00037578
                     35,                 3.4399,                 1.9829,                 2.0467,                      0,                      0,                      0,                      0,                0.22127,                 172.45,                0.13313,              0.0003813,              0.0003813,              0.0003813
                     36,                 3.3902,                 1.9202,                 1.9609,                      0,                      0,                      0,                      0,                0.21324,                  170.9,                 0.1287,              0.0003865,              0.0003865,              0.0003865
                     37,                  3.308,                 1.8354,                 1.8864,                      0,                      0,                      0,                      0,                0.21324,                  170.9,                 0.1287,             0.00039137,             0.00039137,             0.00039137
                     38,                 3.0417,                 1.7408,                 1.7558,                      0,                      0,                      0,                      0,                0.20486,                 169.02,                0.12403,              0.0003959,              0.0003959,              0.0003959
                     39,                 3.3265,                 1.9311,                  1.828,                      0,                      0,                      0,                      0,                0.19883,                 167.37,                0.12063,             0.00040011,             0.00040011,             0.00040011
                     40,                 3.2615,                 1.7041,                 1.6682,                      0,                      0,                      0,                      0,                0.19883,                 167.37,                0.12063,             0.00040399,             0.00040399,             0.00040399
                     41,                 3.3001,                 1.8151,                 1.7315,                      0,                      0,                      0,                      0,                0.19726,                 166.11,                0.11965,             0.00040754,             0.00040754,             0.00040754
                     42,                 3.5023,                 1.8614,                 1.7195,                      0,                      0,                      0,                      0,                 0.1952,                 165.01,                0.11844,             0.00041075,             0.00041075,             0.00041075
                     43,                 3.8178,                 1.7816,                 1.6786,                      0,                      0,                      0,                      0,                 0.1952,                 165.01,                0.11844,             0.00041364,             0.00041364,             0.00041364
                     44,                 3.3042,                 1.7149,                 1.5508,                      0,                      0,                      0,                      0,                0.18818,                 163.36,                0.11453,              0.0004162,              0.0004162,              0.0004162
                     45,                 3.1355,                 1.6647,                 1.5503,                      0,                      0,                      0,                      0,                0.18818,                 163.36,                0.11453,             0.00041843,             0.00041843,             0.00041843
                     46,                 3.2184,                  1.778,                 1.6001,                      0,                      0,                      0,                      0,                0.17804,                 162.02,                0.10892,             0.00042033,             0.00042033,             0.00042033
                     47,                 2.9272,                 1.6397,                 1.4735,                      0,                      0,                      0,                      0,                0.17804,                 162.02,                0.10892,              0.0004219,              0.0004219,              0.0004219
                     48,                  3.266,                 1.7526,                 1.5846,                      0,                      0,                      0,                      0,                0.16204,                 159.91,                0.09997,             0.00042313,             0.00042313,             0.00042313
                     49,                 2.7926,                 1.6015,                 1.4754,                      0,                      0,                      0,                      0,                0.16204,                 159.91,                0.09997,             0.00042404,             0.00042404,             0.00042404
                     50,                 3.1816,                 1.6883,                 1.4958,                      0,                      0,                      0,                      0,                0.14544,                 158.22,                 0.0906,             0.00042462,             0.00042462,             0.00042462
                     51,                 2.7799,                 1.6287,                 1.4789,                      0,                      0,                      0,                      0,                0.14544,                 158.22,                 0.0906,             0.00042066,             0.00042066,             0.00042066
                     52,                 3.0842,                  1.552,                 1.4541,                      0,                      0,                      0,                      0,                0.13841,                 156.71,                0.08645,             0.00042066,             0.00042066,             0.00042066
                     53,                 3.0378,                 1.6036,                   1.44,                      0,                      0,                      0,                      0,                0.13841,                 156.71,                0.08645,             0.00041242,             0.00041242,             0.00041242
                     54,                 2.7878,                 1.7561,                 1.5298,                      0,                      0,                      0,                      0,                0.26091,                 155.83,                0.13562,             0.00040417,             0.00040417,             0.00040417
