                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3167,                 13.765,                 4.5419,                      0,                      0,                      0,                      0,                 6.0193,                 10.701,                 4.1681,                0.00028,                0.00028,                0.00028
                      2,                 4.4288,                 11.236,                 4.2157,                      0,                      0,                      0,                      0,                 6.0379,                 10.681,                 4.1918,             0.00043645,             0.00043645,             0.00043645
                      3,                 3.7316,                 7.9287,                 3.5848,                      0,                      0,                      0,                      0,                 6.0715,                 10.148,                 4.2342,              0.0004444,              0.0004444,              0.0004444
                      4,                 3.3128,                 6.7003,                 3.0702,                      0,                      0,                      0,                      0,                 6.0988,                 9.6599,                 4.2717,             0.00030385,             0.00030385,             0.00030385
