                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9135,                 5.3287,                 4.2418,                      0,                      0,                      0,                      0,                 7.1383,                 6.8462,                 4.1604,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  6.944,                 5.7172,                 4.2304,                      0,                      0,                      0,                      0,                 7.1385,                 6.8516,                 4.1618,             2.3753e-05,             2.3753e-05,             2.3753e-05
                      3,                 6.8978,                  5.133,                 4.2536,                      0,                      0,                      0,                      0,                 7.1387,                 6.8555,                  4.163,             3.7527e-05,             3.7527e-05,             3.7527e-05
                      4,                 6.9377,                 5.5088,                 4.2035,                      0,                      0,                      0,                      0,                 7.1387,                 6.8564,                 4.1637,             4.9651e-05,             4.9651e-05,             4.9651e-05
                      5,                 6.9218,                 5.3363,                 4.2114,                      0,                      0,                      0,                      0,                 7.1388,                 6.8541,                  4.164,             6.0126e-05,             6.0126e-05,             6.0126e-05
                      6,                 6.9075,                 5.2581,                 4.1685,                      0,                      0,                      0,                      0,                 7.1387,                 6.8466,                 4.1636,             6.8952e-05,             6.8952e-05,             6.8952e-05
                      7,                 6.9429,                 5.1962,                 4.1652,                      0,                      0,                      0,                      0,                 7.1385,                 6.8324,                 4.1623,             7.6128e-05,             7.6128e-05,             7.6128e-05
                      8,                 6.8876,                 4.9546,                 4.1189,                      0,                      0,                      0,                      0,                 7.1382,                 6.8109,                 4.1599,             8.1655e-05,             8.1655e-05,             8.1655e-05
                      9,                 6.9141,                  5.089,                 4.1722,                      0,                      0,                      0,                      0,                  7.138,                 6.7977,                 4.1584,             8.5532e-05,             8.5532e-05,             8.5532e-05
                     10,                  6.906,                 4.9722,                 4.1059,                      0,                      0,                      0,                      0,                 7.1377,                 6.7752,                  4.156,             8.7761e-05,             8.7761e-05,             8.7761e-05
                     11,                 6.9003,                 4.9261,                 4.0913,                      0,                      0,                      0,                      0,                 7.1374,                 6.7492,                  4.153,              8.834e-05,              8.834e-05,              8.834e-05
                     12,                 6.8904,                 5.1236,                 4.0529,                      0,                      0,                      0,                      0,                 7.1369,                 6.7197,                 4.1495,             8.7269e-05,             8.7269e-05,             8.7269e-05
                     13,                 6.8974,                 5.0385,                 4.0664,                      0,                      0,                      0,                      0,                 7.1364,                 6.6861,                 4.1455,              8.455e-05,              8.455e-05,              8.455e-05
                     14,                 6.9002,                 4.9033,                 4.0636,                      0,                      0,                      0,                      0,                 7.1359,                 6.6495,                  4.141,              8.018e-05,              8.018e-05,              8.018e-05
                     15,                 6.8945,                 4.9989,                  4.071,                      0,                      0,                      0,                      0,                 7.1353,                 6.6111,                 4.1361,             7.4162e-05,             7.4162e-05,             7.4162e-05
                     16,                 6.8851,                 5.0633,                 4.0173,                      0,                      0,                      0,                      0,                 7.1346,                 6.5705,                 4.1308,             6.6494e-05,             6.6494e-05,             6.6494e-05
                     17,                 6.9169,                 5.0236,                 4.0121,                      0,                      0,                      0,                      0,                 7.1339,                 6.5272,                 4.1251,             5.7177e-05,             5.7177e-05,             5.7177e-05
                     18,                 6.8903,                 5.2713,                 4.0425,                      0,                      0,                      0,                      0,                 7.1332,                 6.4841,                 4.1192,             4.6211e-05,             4.6211e-05,             4.6211e-05
                     19,                 6.8661,                 5.0202,                 4.0288,                      0,                      0,                      0,                      0,                 7.1325,                 6.4413,                 4.1134,             3.3595e-05,             3.3595e-05,             3.3595e-05
                     20,                 6.8883,                 4.9001,                 3.9935,                      0,                      0,                      0,                      0,                 7.1318,                 6.4035,                 4.1082,              1.933e-05,              1.933e-05,              1.933e-05
