                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9096,                 5.2137,                 4.1447,                      0,                      0,                      0,                      0,                  7.133,                 6.5327,                  4.131,             0.00018326,             0.00018326,             0.00018326
                      2,                 6.7575,                 4.4478,                 3.6918,                      0,                      0,                      0,                      0,                 7.0837,                 5.1154,                 3.7996,             0.00035629,             0.00035629,             0.00035629
                      3,                 5.5163,                   3.38,                 3.0585,                      0,                      0,                      0,                      0,                 7.0173,                 4.5221,                 3.5154,             0.00051036,             0.00051036,             0.00051036
                      4,                 4.1264,                 2.6648,                 2.4739,                      0,                      0,                      0,                      0,                 6.7869,                 3.9049,                 3.0588,             0.00064546,             0.00064546,             0.00064546
                      5,                 3.0212,                 2.4792,                 1.9569,                0.05932,                 0.0136,                0.01344,                0.00292,                 5.1935,                 3.0947,                 1.9612,             0.00066807,             0.00066807,             0.00066807
                      6,                  2.629,                 2.1877,                 1.6419,                 0.2411,                0.08872,                0.09714,                0.02858,                 3.7206,                 2.3609,                 1.5115,             0.00066807,             0.00066807,             0.00066807
                      7,                 2.4619,                 1.9515,                 1.4565,                0.16806,                0.20123,                0.17663,                0.06739,                 2.7891,                 1.8816,                  1.307,             0.00062683,             0.00062683,             0.00062683
                      8,                 2.4003,                 1.8433,                  1.357,                0.19701,                0.24745,                0.20957,                0.09774,                 2.1992,                 1.6861,                 1.2224,              0.0005856,              0.0005856,              0.0005856
                      9,                 2.2615,                 1.7294,                 1.2925,                0.17832,                0.24885,                0.21566,                0.11016,                 1.9162,                 1.6509,                 1.1993,             0.00054437,             0.00054437,             0.00054437
                     10,                 2.1192,                   1.62,                 1.2305,                0.24898,                0.25676,                0.26151,                0.15028,                 1.7166,                 1.5499,                 1.1794,             0.00050313,             0.00050313,             0.00050313
                     11,                 1.8625,                 1.5005,                 1.1986,                0.34503,                0.31851,                0.32567,                0.19023,                 1.6192,                 1.3601,                 1.0942,              0.0004619,              0.0004619,              0.0004619
                     12,                 1.8294,                 1.3916,                 1.1601,                0.37235,                0.33494,                0.34877,                0.20952,                 1.5216,                  1.213,                 1.0462,             0.00042066,             0.00042066,             0.00042066
                     13,                 1.7725,                 1.3112,                 1.1242,                0.38143,                0.33381,                 0.3584,                0.22556,                 1.4762,                 1.1602,                  1.029,             0.00037943,             0.00037943,             0.00037943
                     14,                 1.6842,                 1.2505,                 1.1092,                0.40648,                0.35924,                0.37988,                0.24581,                 1.4123,                  1.101,                 1.0148,              0.0003382,              0.0003382,              0.0003382
                     15,                 1.6799,                 1.2075,                 1.0935,                 0.4249,                0.35903,                 0.3912,                 0.2623,                 1.3476,                 1.0732,                 1.0249,             0.00029696,             0.00029696,             0.00029696
                     16,                 1.5673,                 1.1569,                 1.0717,                 0.4395,                0.37515,                0.40265,                0.27348,                 1.3167,                 1.0301,                 1.0044,             0.00025573,             0.00025573,             0.00025573
                     17,                 1.5259,                 1.1262,                 1.0753,                0.44616,                0.40306,                0.41948,                0.28182,                 1.3168,                0.99419,                 1.0074,              0.0002145,              0.0002145,              0.0002145
                     18,                 1.5025,                 1.0974,                 1.0661,                0.45036,                0.40965,                0.42818,                0.29522,                 1.2625,                0.95862,                 1.0032,             0.00017326,             0.00017326,             0.00017326
                     19,                 1.4609,                  1.074,                 1.0704,                0.49056,                0.39536,                0.44286,                0.30755,                 1.2415,                0.93168,                0.99819,             0.00013203,             0.00013203,             0.00013203
                     20,                 1.4224,                 1.0449,                 1.0589,                0.49844,                0.41663,                0.45797,                0.32201,                 1.2232,                0.91996,                0.99976,             9.0797e-05,             9.0797e-05,             9.0797e-05
