                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 4.0793,                 2.8317,                 2.4785,                      0,                      0,                      0,                      0,                 7.0835,                 5.0312,                 3.8228,             0.00049973,             0.00049973,             0.00049973
                     38,                 4.1442,                 2.7966,                 2.4483,                      0,                      0,                      0,                      0,                 7.1181,                  5.712,                 4.0432,             0.00051033,             0.00051033,             0.00051033
                     39,                 3.7952,                 2.9001,                  2.384,                      0,                      0,                      0,                      0,                 7.1356,                 6.2623,                 4.1769,             0.00052076,             0.00052076,             0.00052076
                     40,                 3.4846,                 2.8977,                 2.3042,                      0,                      0,                      0,                      0,                 7.1356,                 6.2623,                 4.1769,             0.00053103,             0.00053103,             0.00053103
                     41,                 3.2962,                 2.8298,                 2.2785,                      0,                      0,                      0,                      0,                 7.1422,                 6.4858,                 4.2319,             0.00054113,             0.00054113,             0.00054113
                     42,                 3.0756,                 2.8168,                 2.2283,                      0,                      0,                      0,                      0,                 7.1407,                  6.319,                  4.217,             0.00055107,             0.00055107,             0.00055107
                     43,                 2.9721,                   2.67,                 2.1422,                      0,                      0,                      0,                      0,                 7.1407,                  6.319,                  4.217,             0.00056085,             0.00056085,             0.00056085
                     44,                 3.3421,                 2.6829,                 2.1528,                      0,                      0,                      0,                      0,                 7.1322,                 5.8754,                 4.1435,             0.00057046,             0.00057046,             0.00057046
                     45,                 3.0267,                 2.6209,                 2.0653,                      0,                      0,                      0,                      0,                 7.1322,                 5.8754,                 4.1435,              0.0005799,              0.0005799,              0.0005799
                     46,                 2.7762,                 2.5715,                 2.0342,                      0,                      0,                      0,                      0,                 7.1004,                 5.0588,                 3.9011,             0.00058918,             0.00058918,             0.00058918
                     47,                 3.0533,                 2.4549,                 1.9724,                      0,                      0,                      0,                      0,                 7.1004,                 5.0588,                 3.9011,             0.00059829,             0.00059829,             0.00059829
                     48,                 2.7116,                 2.4127,                  1.992,                      0,                      0,                      0,                      0,                 7.0104,                 4.3447,                 3.4088,             0.00060724,             0.00060724,             0.00060724
                     49,                 2.7927,                 2.4087,                 1.9668,                      0,                      0,                      0,                      0,                 7.0104,                 4.3447,                 3.4088,             0.00061603,             0.00061603,             0.00061603
                     50,                 2.9345,                 2.3296,                  1.884,                      0,                      0,                      0,                      0,                 6.7092,                 3.8112,                 2.6031,             0.00062465,             0.00062465,             0.00062465
                     51,                  2.682,                 2.2541,                 1.8588,                      0,                      0,                      0,                      0,                 6.7092,                 3.8112,                 2.6031,             0.00062683,             0.00062683,             0.00062683
                     52,                 3.1824,                 2.2771,                 1.8324,                0.00505,                0.00559,                0.00456,                0.00085,                 5.5687,                 3.1986,                 1.9843,             0.00062683,             0.00062683,             0.00062683
                     53,                 3.0669,                 2.1891,                 1.7272,                0.00505,                0.00559,                0.00456,                0.00085,                 5.5687,                 3.1986,                 1.9843,             0.00062271,             0.00062271,             0.00062271
                     54,                 2.5321,                 2.2407,                 1.8114,                0.06319,                0.06096,                0.06778,                0.01925,                 4.2808,                 2.6378,                 1.7403,             0.00061859,             0.00061859,             0.00061859
                     55,                 2.8307,                 2.1426,                  1.718,                0.06319,                0.06096,                0.06778,                0.01925,                 4.2808,                 2.6378,                 1.7403,             0.00061446,             0.00061446,             0.00061446
                     56,                 2.6191,                  2.295,                 1.7782,                0.14309,                0.15162,                0.15018,                0.05152,                 3.3263,                 2.1576,                 1.6281,             0.00061034,             0.00061034,             0.00061034
                     57,                  2.872,                 2.1434,                 1.7007,                0.14309,                0.15162,                0.15018,                0.05152,                 3.3263,                 2.1576,                 1.6281,             0.00060622,             0.00060622,             0.00060622
                     58,                  2.508,                 2.1827,                 1.7528,                0.20223,                0.17654,                0.18833,                0.07098,                 2.9417,                 1.9782,                  1.567,             0.00060209,             0.00060209,             0.00060209
                     59,                 2.3569,                 2.1148,                 1.7392,                0.20223,                0.17654,                0.18833,                0.07098,                 2.9417,                 1.9782,                  1.567,             0.00059797,             0.00059797,             0.00059797
                     60,                 2.4121,                 2.0624,                 1.6539,                0.19932,                0.17606,                0.18908,                0.07157,                 2.9255,                 1.9607,                 1.5241,             0.00059385,             0.00059385,             0.00059385
                     61,                 2.5579,                 2.0821,                 1.6582,                0.19932,                0.17606,                0.18908,                0.07157,                 2.9255,                 1.9607,                 1.5241,             0.00058972,             0.00058972,             0.00058972
                     62,                 2.3771,                 2.0244,                 1.6372,                0.18108,                0.14513,                0.15846,                0.05636,                 3.1723,                 1.9839,                 1.4985,              0.0005856,              0.0005856,              0.0005856
                     63,                 2.5684,                 1.9507,                 1.5437,                0.18108,                0.14513,                0.15846,                0.05636,                 3.1723,                 1.9839,                 1.4985,             0.00058148,             0.00058148,             0.00058148
                     64,                 2.6173,                 2.0082,                 1.5893,                0.14617,                0.14897,                0.14205,                0.05011,                 3.2828,                 1.9607,                 1.4595,             0.00057735,             0.00057735,             0.00057735
                     65,                 2.4818,                 1.9806,                 1.5804,                0.14617,                0.14897,                0.14205,                0.05011,                 3.2828,                 1.9607,                 1.4595,             0.00057323,             0.00057323,             0.00057323
                     66,                 2.5089,                  1.964,                 1.5682,                0.26406,                0.15295,                0.13979,                0.04868,                 3.3748,                 1.9458,                 1.4314,             0.00056911,             0.00056911,             0.00056911
                     67,                 2.3996,                 1.9263,                 1.5232,                0.26406,                0.15295,                0.13979,                0.04868,                 3.3748,                 1.9458,                 1.4314,             0.00056498,             0.00056498,             0.00056498
                     68,                  2.784,                 1.9332,                 1.5083,                0.28156,                0.15498,                0.14763,                0.05235,                 3.3879,                 1.9281,                 1.4194,             0.00056086,             0.00056086,             0.00056086
                     69,                 2.3531,                 1.8895,                   1.47,                0.28156,                0.15498,                0.14763,                0.05235,                 3.3879,                 1.9281,                 1.4194,             0.00055674,             0.00055674,             0.00055674
                     70,                 2.5638,                 1.8986,                 1.5212,                0.30656,                0.17829,                0.17629,                0.06611,                 3.1904,                 1.8628,                 1.3982,             0.00055261,             0.00055261,             0.00055261
                     71,                 2.2589,                 1.8276,                 1.4568,                0.30656,                0.17829,                0.17629,                0.06611,                 3.1904,                 1.8628,                 1.3982,             0.00054849,             0.00054849,             0.00054849
                     72,                 2.2371,                 1.8396,                 1.4457,                0.33795,                0.20106,                0.20693,                0.08432,                  2.812,                 1.7613,                 1.3531,             0.00054437,             0.00054437,             0.00054437
                     73,                 2.2346,                 1.8645,                 1.4726,                0.33795,                0.20106,                0.20693,                0.08432,                  2.812,                 1.7613,                 1.3531,             0.00054024,             0.00054024,             0.00054024
                     74,                  2.597,                 1.8431,                 1.4576,                0.34228,                 0.2168,                0.21712,                0.09256,                  2.604,                 1.7052,                 1.3153,             0.00053612,             0.00053612,             0.00053612
                     75,                 2.5638,                  1.816,                 1.4067,                0.34228,                 0.2168,                0.21712,                0.09256,                  2.604,                 1.7052,                 1.3153,               0.000532,               0.000532,               0.000532
                     76,                 2.2113,                 1.8198,                 1.4392,                0.21333,                0.21769,                0.21453,                0.09112,                 2.5753,                 1.6933,                 1.2853,             0.00052787,             0.00052787,             0.00052787
                     77,                  2.182,                 1.8095,                 1.3824,                0.21333,                0.21769,                0.21453,                0.09112,                 2.5753,                 1.6933,                 1.2853,             0.00052375,             0.00052375,             0.00052375
                     78,                 2.2592,                 1.7938,                 1.3708,                0.21231,                0.21457,                 0.2112,                0.08712,                  2.628,                 1.6969,                 1.2699,             0.00051963,             0.00051963,             0.00051963
                     79,                 2.1629,                 1.7426,                 1.3511,                0.21231,                0.21457,                 0.2112,                0.08712,                  2.628,                 1.6969,                 1.2699,              0.0005155,              0.0005155,              0.0005155
                     80,                 2.3399,                 1.7819,                  1.359,                0.21492,                0.20784,                0.20938,                0.08369,                 2.7368,                  1.722,                 1.2675,             0.00051138,             0.00051138,             0.00051138
                     81,                 2.1923,                 1.7486,                 1.3702,                0.21492,                0.20784,                0.20938,                0.08369,                 2.7368,                  1.722,                 1.2675,             0.00050726,             0.00050726,             0.00050726
                     82,                 2.1152,                 1.7814,                 1.4285,                0.19889,                0.19337,                 0.1961,                0.07608,                 2.9615,                 1.7942,                  1.284,             0.00050313,             0.00050313,             0.00050313
                     83,                 2.2772,                   1.73,                 1.3428,                0.19889,                0.19337,                 0.1961,                0.07608,                 2.9615,                 1.7942,                  1.284,             0.00049901,             0.00049901,             0.00049901
                     84,                 2.1448,                 1.7413,                 1.3499,                0.17175,                0.21292,                0.20123,                0.08031,                 2.9446,                 1.8068,                 1.2827,             0.00049489,             0.00049489,             0.00049489
                     85,                 2.1284,                 1.7457,                 1.3252,                0.17175,                0.21292,                0.20123,                0.08031,                 2.9446,                 1.8068,                 1.2827,             0.00049076,             0.00049076,             0.00049076
                     86,                 2.3019,                 1.7061,                   1.34,                0.19896,                0.23664,                0.22606,                0.09495,                 2.6442,                 1.7423,                 1.2524,             0.00048664,             0.00048664,             0.00048664
                     87,                 2.6426,                 1.7579,                 1.3193,                0.19896,                0.23664,                0.22606,                0.09495,                 2.6442,                 1.7423,                 1.2524,             0.00048252,             0.00048252,             0.00048252
                     88,                 2.1424,                 1.7212,                 1.3637,                0.21683,                0.25222,                0.23937,                0.10407,                 2.4423,                 1.6929,                 1.2326,             0.00047839,             0.00047839,             0.00047839
                     89,                  2.161,                 1.6973,                 1.3508,                0.21683,                0.25222,                0.23937,                0.10407,                 2.4423,                 1.6929,                 1.2326,             0.00047427,             0.00047427,             0.00047427
                     90,                   2.33,                 1.7057,                 1.3133,                 0.2309,                 0.2654,                 0.2511,                 0.1146,                 2.2131,                  1.644,                 1.2179,             0.00047015,             0.00047015,             0.00047015
                     91,                 2.3672,                 1.7071,                 1.2669,                 0.2309,                 0.2654,                 0.2511,                 0.1146,                 2.2131,                  1.644,                 1.2179,             0.00046602,             0.00046602,             0.00046602
                     92,                 2.0825,                 1.6393,                 1.3399,                0.23716,                0.26696,                0.25394,                0.11737,                 2.1451,                 1.6457,                 1.2104,              0.0004619,              0.0004619,              0.0004619
                     93,                 1.9955,                 1.6202,                 1.3051,                0.23716,                0.26696,                0.25394,                0.11737,                 2.1451,                 1.6457,                 1.2104,             0.00045778,             0.00045778,             0.00045778
                     94,                 1.9598,                 1.6272,                 1.3069,                0.24987,                0.26935,                 0.2604,                 0.1221,                 2.1035,                 1.6569,                 1.2017,             0.00045365,             0.00045365,             0.00045365
                     95,                  2.351,                 1.6658,                 1.2783,                0.24987,                0.26935,                 0.2604,                 0.1221,                 2.1035,                 1.6569,                 1.2017,             0.00044953,             0.00044953,             0.00044953
                     96,                 2.5799,                 1.6789,                 1.2904,                0.25897,                0.27432,                0.26629,                0.12723,                 2.0416,                 1.6429,                  1.193,             0.00044541,             0.00044541,             0.00044541
                     97,                 2.2181,                 1.5893,                 1.2594,                0.25897,                0.27432,                0.26629,                0.12723,                 2.0416,                 1.6429,                  1.193,             0.00044128,             0.00044128,             0.00044128
                     98,                 2.2248,                 1.6408,                 1.3141,                 0.2618,                0.27605,                0.26917,                0.13364,                 1.9609,                 1.6073,                 1.1828,             0.00043716,             0.00043716,             0.00043716
                     99,                 2.3642,                 1.6245,                 1.2884,                 0.2618,                0.27605,                0.26917,                0.13364,                 1.9609,                 1.6073,                 1.1828,             0.00043304,             0.00043304,             0.00043304
                    100,                  2.071,                 1.5883,                 1.2655,                0.26948,                0.28276,                0.27586,                0.14066,                 1.9023,                 1.5624,                 1.1731,             0.00042891,             0.00042891,             0.00042891
                    101,                 2.0149,                 1.5845,                  1.255,                0.26948,                0.28276,                0.27586,                0.14066,                 1.9023,                 1.5624,                 1.1731,             0.00042479,             0.00042479,             0.00042479
                    102,                 2.0172,                 1.5886,                 1.2804,                 0.2722,                0.28421,                0.28036,                0.14465,                 1.9039,                 1.5481,                 1.1662,             0.00042066,             0.00042066,             0.00042066
                    103,                 1.9243,                 1.5286,                 1.2673,                 0.2722,                0.28421,                0.28036,                0.14465,                 1.9039,                 1.5481,                 1.1662,             0.00041654,             0.00041654,             0.00041654
                    104,                 2.1899,                 1.5613,                 1.2082,                0.27917,                0.28884,                0.28895,                0.15172,                 1.8533,                 1.5335,                 1.1611,             0.00041242,             0.00041242,             0.00041242
                    105,                 1.9714,                 1.5213,                 1.2422,                0.27917,                0.28884,                0.28895,                0.15172,                 1.8533,                 1.5335,                 1.1611,             0.00040829,             0.00040829,             0.00040829
                    106,                 2.1416,                 1.6035,                 1.2535,                0.28473,                0.29062,                0.29533,                0.15426,                 1.8704,                  1.558,                 1.1628,             0.00040417,             0.00040417,             0.00040417
                    107,                  2.082,                 1.5194,                 1.2086,                0.28473,                0.29062,                0.29533,                0.15426,                 1.8704,                  1.558,                 1.1628,             0.00040005,             0.00040005,             0.00040005
                    108,                 2.0734,                 1.5545,                 1.2091,                0.28928,                0.29458,                  0.302,                0.15903,                 1.8703,                 1.5786,                 1.1672,             0.00039592,             0.00039592,             0.00039592
                    109,                  2.024,                 1.5373,                 1.2029,                0.28928,                0.29458,                  0.302,                0.15903,                 1.8703,                 1.5786,                 1.1672,              0.0003918,              0.0003918,              0.0003918
                    110,                 2.1501,                 1.5314,                 1.1966,                0.29402,                0.29796,                0.30596,                0.15979,                 1.8988,                  1.603,                 1.1736,             0.00038768,             0.00038768,             0.00038768
                    111,                 2.1597,                 1.5442,                 1.2408,                0.29402,                0.29796,                0.30596,                0.15979,                 1.8988,                  1.603,                 1.1736,             0.00038355,             0.00038355,             0.00038355
                    112,                  1.907,                 1.4729,                 1.1993,                0.29917,                0.30192,                0.31037,                0.16167,                 1.9304,                 1.6115,                 1.1715,             0.00037943,             0.00037943,             0.00037943
                    113,                 1.9064,                 1.4892,                 1.2148,                0.29917,                0.30192,                0.31037,                0.16167,                 1.9304,                 1.6115,                 1.1715,             0.00037531,             0.00037531,             0.00037531
                    114,                 1.9589,                 1.5139,                 1.1905,                0.30801,                0.31001,                0.31922,                0.17142,                 1.8448,                 1.5712,                 1.1613,             0.00037118,             0.00037118,             0.00037118
                    115,                 1.9463,                 1.4788,                  1.196,                0.30801,                0.31001,                0.31922,                0.17142,                 1.8448,                 1.5712,                 1.1613,             0.00036706,             0.00036706,             0.00036706
                    116,                 1.9571,                 1.4769,                 1.1735,                0.31892,                0.31621,                 0.3276,                0.18201,                 1.7339,                 1.5235,                 1.1531,             0.00036294,             0.00036294,             0.00036294
                    117,                 1.9271,                 1.4877,                 1.2216,                0.31892,                0.31621,                 0.3276,                0.18201,                 1.7339,                 1.5235,                 1.1531,             0.00035881,             0.00035881,             0.00035881
                    118,                 2.0141,                 1.5292,                 1.2863,                0.32538,                0.31842,                0.32998,                0.18073,                 1.7665,                  1.526,                 1.1539,             0.00035469,             0.00035469,             0.00035469
                    119,                 2.0093,                 1.4691,                 1.1488,                0.32538,                0.31842,                0.32998,                0.18073,                 1.7665,                  1.526,                 1.1539,             0.00035057,             0.00035057,             0.00035057
                    120,                 1.9818,                 1.4503,                 1.1687,                0.32928,                0.31738,                0.33001,                 0.1741,                  1.857,                 1.5494,                 1.1586,             0.00034644,             0.00034644,             0.00034644
                    121,                 1.8561,                 1.4374,                 1.2321,                0.32928,                0.31738,                0.33001,                 0.1741,                  1.857,                 1.5494,                 1.1586,             0.00034232,             0.00034232,             0.00034232
                    122,                 1.9787,                 1.4456,                 1.1495,                0.33443,                0.32067,                0.33562,                0.18009,                 1.8039,                 1.5112,                 1.1492,              0.0003382,              0.0003382,              0.0003382
                    123,                 2.0566,                 1.4621,                 1.1475,                0.33443,                0.32067,                0.33562,                0.18009,                 1.8039,                 1.5112,                 1.1492,             0.00033407,             0.00033407,             0.00033407
                    124,                 1.7722,                 1.4122,                 1.1857,                0.34111,                0.32476,                 0.3418,                0.18179,                  1.817,                 1.4953,                 1.1424,             0.00032995,             0.00032995,             0.00032995
                    125,                 2.0366,                 1.4435,                 1.1841,                0.34111,                0.32476,                 0.3418,                0.18179,                  1.817,                 1.4953,                 1.1424,             0.00032583,             0.00032583,             0.00032583
                    126,                 1.8731,                 1.4195,                 1.1415,                0.34609,                0.33091,                 0.3502,                0.19362,                 1.7305,                 1.4508,                 1.1321,              0.0003217,              0.0003217,              0.0003217
                    127,                 1.9296,                 1.4216,                 1.1632,                0.34609,                0.33091,                 0.3502,                0.19362,                 1.7305,                 1.4508,                 1.1321,             0.00031758,             0.00031758,             0.00031758
                    128,                 1.8339,                  1.393,                 1.1533,                0.34757,                0.33705,                0.35668,                0.20317,                 1.6724,                 1.4187,                 1.1296,             0.00031346,             0.00031346,             0.00031346
                    129,                 1.8041,                 1.3524,                 1.1557,                0.34757,                0.33705,                0.35668,                0.20317,                 1.6724,                 1.4187,                 1.1296,             0.00030933,             0.00030933,             0.00030933
                    130,                 1.8745,                 1.4169,                 1.2126,                0.34994,                0.34209,                0.36112,                0.20875,                 1.6527,                 1.4027,                 1.1303,             0.00030521,             0.00030521,             0.00030521
                    131,                 1.9872,                 1.4075,                 1.1519,                0.34994,                0.34209,                0.36112,                0.20875,                 1.6527,                 1.4027,                 1.1303,             0.00030109,             0.00030109,             0.00030109
                    132,                 1.8129,                 1.3483,                  1.165,                0.35008,                0.34603,                0.36352,                0.20862,                 1.6885,                 1.4088,                 1.1302,             0.00029696,             0.00029696,             0.00029696
                    133,                 1.8342,                 1.3594,                 1.1563,                0.35008,                0.34603,                0.36352,                0.20862,                 1.6885,                 1.4088,                 1.1302,             0.00029284,             0.00029284,             0.00029284
                    134,                 2.0382,                 1.4109,                 1.1501,                0.35488,                0.34974,                 0.3673,                0.21262,                 1.6692,                 1.3895,                 1.1265,             0.00028872,             0.00028872,             0.00028872
                    135,                 1.9491,                 1.3965,                 1.1539,                0.35488,                0.34974,                 0.3673,                0.21262,                 1.6692,                 1.3895,                 1.1265,             0.00028459,             0.00028459,             0.00028459
                    136,                 1.9145,                 1.3852,                 1.1419,                0.35855,                0.35339,                0.37108,                0.21828,                 1.6116,                  1.349,                 1.1205,             0.00028047,             0.00028047,             0.00028047
                    137,                 1.8552,                 1.3525,                 1.1867,                0.35855,                0.35339,                0.37108,                0.21828,                 1.6116,                  1.349,                 1.1205,             0.00027635,             0.00027635,             0.00027635
                    138,                 1.7443,                  1.312,                 1.1646,                0.35995,                0.35545,                0.37241,                0.22157,                 1.5708,                 1.3188,                 1.1145,             0.00027222,             0.00027222,             0.00027222
                    139,                 1.7907,                  1.349,                 1.1996,                0.35995,                0.35545,                0.37241,                0.22157,                 1.5708,                 1.3188,                 1.1145,              0.0002681,              0.0002681,              0.0002681
                    140,                 1.9033,                 1.3443,                 1.1384,                0.36113,                0.35791,                0.37502,                0.22566,                 1.5423,                 1.3017,                 1.1139,             0.00026398,             0.00026398,             0.00026398
                    141,                 2.0077,                 1.3578,                 1.1044,                0.36113,                0.35791,                0.37502,                0.22566,                 1.5423,                 1.3017,                 1.1139,             0.00025985,             0.00025985,             0.00025985
                    142,                 1.7846,                 1.3414,                 1.1883,                0.36169,                0.36105,                0.37761,                0.22801,                 1.5486,                 1.3006,                 1.1139,             0.00025573,             0.00025573,             0.00025573
                    143,                 1.8148,                 1.3069,                 1.1683,                0.36169,                0.36105,                0.37761,                0.22801,                 1.5486,                 1.3006,                 1.1139,             0.00025161,             0.00025161,             0.00025161
                    144,                 1.8227,                 1.3221,                 1.1171,                0.36184,                0.33761,                0.36623,                0.22241,                 1.5513,                 1.2998,                 1.1104,             0.00024748,             0.00024748,             0.00024748
                    145,                 2.1008,                 1.3646,                 1.1624,                0.36225,                0.36265,                0.37969,                0.22985,                 1.5513,                 1.2998,                 1.1104,             0.00024336,             0.00024336,             0.00024336
