                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1648,                 12.677,                 4.9457,                      0,                      0,                      0,                      0,                 6.0671,                 8.9803,                  4.169,                0.00028,                0.00028,                0.00028
                      2,                 3.7186,                 6.9225,                 3.9162,                      0,                      0,                      0,                      0,                 6.0897,                 9.0227,                 4.2012,             0.00057426,             0.00057426,             0.00057426
                      3,                 2.8431,                 4.6913,                 3.1793,                      0,                      0,                      0,                      0,                   6.14,                 8.3199,                 4.2847,             0.00086258,             0.00086258,             0.00086258
                      4,                 2.4312,                 3.4397,                 2.3898,                      0,                      0,                      0,                      0,                 6.1985,                  7.017,                 4.3952,               0.001145,               0.001145,               0.001145
                      5,                 2.3033,                 2.9516,                 2.1344,                      0,                      0,                      0,                      0,                  6.224,                 6.4895,                 4.4632,              0.0014214,              0.0014214,              0.0014214
                      6,                 2.1511,                 2.4604,                 1.8999,                0.00103,                    0.1,                0.00057,                0.00018,                 5.2446,                 6.7731,                  3.875,              0.0016919,              0.0016919,              0.0016919
                      7,                 2.0077,                 2.2981,                 1.8036,                0.94434,                0.35346,                 0.7184,                 0.3391,                 1.7948,                 2.4592,                 2.0139,              0.0018812,              0.0018812,              0.0018812
                      8,                   2.03,                 2.2052,                 1.7584,                0.63832,                0.68389,                0.70847,                 0.2618,                 2.0657,                 2.0053,                 1.9099,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.0022,                 1.9468,                 1.6905,                 0.9105,                0.80533,                0.93335,                0.44727,                 1.7678,                 2.1159,                 1.7252,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9609,                 1.8069,                 1.6189,                0.58607,                0.50146,                0.59898,                0.25161,                 2.0207,                 2.4374,                  1.897,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.9871,                 1.7532,                 1.6195,                0.77076,                0.73333,                0.78682,                0.26635,                 1.9936,                 1.8589,                 1.7187,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8902,                 1.5824,                 1.5107,                0.79333,                0.83171,                0.90066,                0.42569,                 1.6808,                  1.615,                 1.5219,               0.001802,               0.001802,               0.001802
                     13,                 1.9099,                 1.4898,                 1.5432,                0.79707,                0.83466,                0.90396,                0.38897,                 1.7304,                 1.7208,                 1.5488,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8274,                  1.346,                 1.4637,                0.92031,                0.96234,                0.97683,                0.49159,                 1.7248,                 1.4336,                 1.5098,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.8587,                  1.383,                 1.4991,                0.83856,                0.86571,                0.89114,                0.40106,                 1.7988,                 1.4995,                  1.529,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7579,                 1.2651,                 1.4191,                 0.7909,                0.72495,                0.83853,                0.29739,                 2.1672,                 2.0169,                 1.6952,              0.0017228,              0.0017228,              0.0017228
